search_term,source_website,JobId,Company,Title,Description,job_type,experience,domain,salary,PostedDate,ApplyUrl,City,State,Country
Data Engineer,BuiltIn,2951288,JPMorganChase,Cloud Data Engineer III,"As a Data Engineer III at JPMorgan Chase, develop, test, and maintain critical data pipelines and architectures. Responsible for data collection, storage, access, and analytics solutions in a secure, stable, and scalable manner. Collaborate with agile teams to support the firm's business objectives.",Hybrid,3-5 Years of Experience,Financial Services,N/A,2024-07-19,https://builtin.com/job/cloud-data-engineer-iii/2951288,Wilmington, DE,US
Data Engineer,BuiltIn,2943528,Chewy,Data Engineer III,"Data Engineer III responsible for contributing to the architecture, maintenance, and performance tuning of data pipelines on AWS cloud. Design and implement data models, orchestration applications, and continuous integration pipelines. Collaborate with stakeholders to build high-quality data products. Requires Bachelor's degree in related field and 5 years of experience, or Master's degree and 3 years of experience.",Hybrid,5-7 Years of Experience,eCommerce • Healthtech • Pet • Retail • Pharmaceutical,N/A,2024-07-18,https://builtin.com/job/data-engineer-iii/2943528,Minneapolis, MN,US
Data Engineer,BuiltIn,2942779,Rocket Travel,[Data Engineer] Senior Data Engineer,"Senior Data Engineer role at Rocket Travel by Agoda, responsible for building and improving data pipelines, working with Python/SQL, and collaborating with various stakeholders to enhance data-driven decision making in the business.",Remote,3-5 Years of Experience,Consumer Web • Information Technology • Software • Travel,120K Annually,2024-07-18,https://builtin.com/job/data-engineer-senior-data-engineer/2942779,Chicago, IL,US
Data Engineer,BuiltIn,2943533,Chewy,Data Engineer III,"The Data Engineer III at Chewy will be responsible for developing and optimizing data systems, managing data integration and SSOT tables, providing leadership and mentorship, deploying innovative solutions, and collaborating with strategic partners. They must have a Bachelor's or Master's degree in a related field, at least 5 years of data engineering experience, expertise in SQL and Python, and strong problem-solving skills.",Hybrid,5-7 Years of Experience,eCommerce • Healthtech • Pet • Retail • Pharmaceutical,N/A,2024-07-18,https://builtin.com/job/data-engineer-iii/2943533,Plantation, FL,US
Data Engineer,BuiltIn,2948711,The Walt Disney Company,Data Engineer,"The Data Engineer will be responsible for hands-on data engineering development across multiple projects using technologies such as AWS, Docker, GitLab, Airflow, Python, Snowflake, or PostgreSQL. Daily activities include designing and implementing database schema, coding data pipelines, building data visualizations, and evolving data engineering code base.",Hybrid,3-5 Years of Experience,AdTech • Digital Media • News + Entertainment,N/A,2024-07-19,https://builtin.com/job/data-engineer/2948711,Sacramento, CA,US
Data Engineer,BuiltIn,2951286,JPMorganChase,Finance Technology - Cloud Data Engineer Lead,"Lead Data Engineer at JPMorgan Chase responsible for data collection, storage, access, and analytics solutions in a secure, stable, and scalable manner. Key responsibilities include data modeling, ETL processes, database management, and ensuring data security. Required qualifications include formal training in data engineering and 5+ years of experience, proficiency in ETL, relational and NoSQL databases, and data lifecycle management. Preferred skills include experience with Databricks, snowflake, spark, cloud-based databases, LLM tools, and Business Intelligence.",Hybrid,5-7 Years of Experience,Financial Services,N/A,2024-07-19,https://builtin.com/job/finance-technology-cloud-data-engineer-lead/2951286,Wilmington, DE,US
Data Engineer,BuiltIn,2945581,Chewy,Data Engineer III,"The Senior Data Engineer (Data Engineer III) at Chewy will be responsible for designing and optimizing data systems, managing data integration and management, providing collaborative leadership, mentoring peers, implementing innovative solutions, forming strategic partnerships, and following agile practices. The ideal candidate will have a Bachelor’s or Master’s degree in a related field, 5 years of data engineering experience with a focus on cloud environments and enterprise data warehouses, expertise in SQL and Python, and strong leadership and communication skills.",Hybrid,5-7 Years of Experience,eCommerce • Healthtech • Pet • Retail • Pharmaceutical,N/A,2024-07-18,https://builtin.com/job/data-engineer-iii/2945581,Boston, MA,US
Data Engineer,BuiltIn,2943536,Chewy,Data Engineer III,"The Senior Data Engineer (Data Engineer III) at Chewy will be responsible for designing and optimizing data systems, managing data integration and SSOT tables, providing leadership and mentorship, evaluating innovative solutions, and collaborating with strategic partners. The role requires a Bachelor's or Master's degree in a related field, at least 5 years of experience in data engineering, expertise in SQL and Python, and proven leadership and communication skills.",Hybrid,5-7 Years of Experience,eCommerce • Healthtech • Pet • Retail • Pharmaceutical,135K-215K Annually,2024-07-18,https://builtin.com/job/data-engineer-iii/2943536,Bellevue, WA,US
Data Engineer,BuiltIn,2951123,Evolv Technology,Senior AI Data Engineer,"Seeking a Senior AI Data Engineer to drive the development of AI/Chatbot platform, optimize data processes, and enhance machine learning data pipelines and infrastructure. Responsibilities include designing and implementing data pipelines, building data platforms, ensuring infrastructure stability, and collaborating on security and compliance initiatives.",InPerson,5-7 Years of Experience,Artificial Intelligence • Computer Vision • Security • Software,119K-175K Annually,2024-07-19,https://builtin.com/job/senior-ai-data-engineer/2951123,Waltham, MA,US
Data Engineer,BuiltIn,2941723,Clear Street,"Data Engineer, Regulatory Reporting","As an experienced Software Engineer on the Controls Engineering team, you will play an integral role in automating Compliance & Finance regulatory processes by processing large amounts of data from a data warehouse to generate clean, correct reporting. You will collaborate with key stakeholders to translate regulatory and business requirements into scalable solutions and mentor teammates on technical standards and best practices.",Hybrid,5-7 Years of Experience,Fintech • Software • Financial Services,140K-200K Annually,2024-07-18,https://builtin.com/job/data-engineer-regulatory-reporting/2941723,New York, NY,US
